Add order,2022-05-01 12:20:17.234
Add order,2022-05-01 22:29:34.413
Add user,2022-05-01 22:32:23.447
Add order,2022-05-01 22:35:27.672
Add User,2022-05-25 18:14:25.202
Add User,2022-05-25 18:26:53.402
Add User,2022-05-25 18:28:47.348
Add User,2022-05-25 18:35:36.916
Add User,2022-05-25 19:03:30.96
Add User,2022-05-25 19:04:34.702
Add User,2022-05-25 19:06:48.086
Add User,2022-05-25 19:10:38.15
Add User,2022-05-25 19:13:30.008
Add User,2022-05-25 19:16:44.577
Add Courier,2022-05-25 19:17:22.168
Fire Lazy Couriers,2022-05-25 19:17:58.296
Add Subscription,2022-05-25 19:18:32.518
Print loyal users,2022-05-25 19:19:02.132
Add order,2022-05-25 19:19:16.345
Add order,2022-05-25 19:20:21.503
Add order,2022-05-25 19:21:18.379
Add order,2022-05-25 19:23:14.673
Add order,2022-05-25 19:23:58.76
Add order,2022-05-25 19:24:10.662
Add order,2022-05-25 19:24:41.156
Print loyal users,2022-05-25 19:24:57.883
Add order,2022-05-25 19:25:00.676
Print loyal users,2022-05-25 19:25:22.773
Add order,2022-05-25 19:27:58.902
Print loyal users,2022-05-25 19:28:06.708
Add order,2022-05-25 19:28:08.423
Print loyal users,2022-05-25 19:28:15.097
Add order,2022-05-25 19:39:42.665
Print loyal users,2022-05-25 19:39:55.241
Add order,2022-05-25 19:39:58.451
Add order,2022-05-25 19:40:07.449
Add order,2022-05-25 19:40:22.47
Print loyal users,2022-05-25 19:40:54.526
Add order,2022-05-25 19:40:56.097
Print loyal users,2022-05-25 19:41:05.177
Add order,2022-05-25 19:41:10.95
Print loyal users,2022-05-25 19:41:21.644
Add order,2022-05-25 19:42:25.058
Add order,2022-05-25 19:42:41.597
Add order,2022-05-25 19:43:18.777
Add order,2022-05-25 19:43:27.948
Print loyal users,2022-05-25 19:43:37.47
Add order,2022-05-25 19:43:39.464
Print loyal users,2022-05-25 19:43:55.478
Add User,2022-05-25 19:44:03.666
Add Courier,2022-05-25 19:45:12.178
Add Subscription,2022-05-25 19:45:49.237
Print loyal users,2022-05-25 19:46:21.163
Get cities with most interaction,2022-05-25 19:46:25.21
Fire Lazy Couriers,2022-05-25 19:46:40.61
Get local restaurants,2022-05-25 19:47:24.748
Get local restaurants,2022-05-25 19:49:06.687
Get local restaurants,2022-05-25 19:49:16.287
Get local restaurants,2022-05-25 19:50:28.066
Get local restaurants,2022-05-25 19:50:33.636
Add User,2022-05-25 19:50:52.001
User unsubscribed,2022-05-25 19:51:35.398
User unsubscribed,2022-05-25 19:52:55.566
Remove restaurant,2022-05-25 19:53:46.829
Remove restaurant,2022-05-25 19:54:48.123
Add restaurant,2022-05-25 19:54:56.748
Add restaurant,2022-05-25 19:56:17.734
Add restaurant,2022-05-25 19:57:55.862
Add restaurant,2022-05-25 20:00:12.2
Add order,2022-05-25 20:01:03.393
Leave,2022-05-25 20:01:38.498
Add order,2022-05-25 20:03:02.169
Add order,2022-05-25 20:03:19.145
Leave,2022-05-25 20:03:42.478
Leave,2022-05-25 20:33:03.406
Add order,2022-05-25 20:44:52.163
Add order,2022-05-25 21:28:28.8
Print loyal users,2022-05-25 21:29:06.779
Add order,2022-05-25 21:29:12.046
Print loyal users,2022-05-25 21:29:29.478
Add order,2022-05-25 21:31:22.611
Print loyal users,2022-05-25 21:31:35.013
Add order,2022-05-25 21:31:38.275
Print loyal users,2022-05-25 21:31:47.305
Add order,2022-05-25 21:31:50.333
Print loyal users,2022-05-25 21:31:58.94
Add order,2022-05-25 21:33:15.685
Add order,2022-05-25 21:33:24.894
Add order,2022-05-25 21:33:25.915
Add Courier,2022-05-25 21:33:33.546
Add order,2022-05-25 21:33:43.539
Print loyal users,2022-05-25 21:33:54.191
Add order,2022-05-25 21:35:25.779
Print loyal users,2022-05-25 21:35:39.675
Add order,2022-05-25 21:35:42.867
Print loyal users,2022-05-25 21:35:53.767
Leave,2022-05-25 21:39:06.074
Add order,2022-05-25 21:41:11.854
Print loyal users,2022-05-25 21:41:37.409
Add order,2022-05-25 21:41:41.983
Print loyal users,2022-05-25 21:42:00.796
Add User,2022-05-25 21:42:10.212
Add Courier,2022-05-25 21:43:18.828
Add Subscription,2022-05-25 21:43:45.259
Get cities with most interaction,2022-05-25 21:44:15.751
Fire Lazy Couriers,2022-05-25 21:45:01.334
Get local restaurants,2022-05-25 21:45:25.095
Get local restaurants,2022-05-25 21:45:48.3
Add User,2022-05-25 21:46:03.993
Get local restaurants,2022-05-25 21:46:26.125
User unsubscribed,2022-05-25 21:46:48.112
User unsubscribed,2022-05-25 21:46:59.218
Remove restaurant,2022-05-25 21:47:21.626
Add restaurant,2022-05-25 21:47:40.423
Add restaurant,2022-05-25 21:48:42.466
Leave,2022-05-25 21:49:32.782
